,Metric,Values,Average Values,Statistical Test Result,Standard Deviation
0,Accuracies,"[0.8846153846153846, 0.8269230769230769, 0.8653846153846154, 0.8942307692307693, 0.9038461538461539, 0.8557692307692307, 0.9134615384615384, 0.8557692307692307, 0.8557692307692307, 0.8942307692307693]",0.875,n/a,0.025800784355766826
1,Precisions,"[0.7362637362637363, 0.6587301587301587, 0.7200229489386116, 0.7805474095796676, 0.7642045454545454, 0.7102272727272727, 0.7512218963831867, 0.7008113590263692, 0.72447599729547, 0.7603359173126616]",0.730684124171168,0.00038105845205068555,0.034033169669472056
2,Recalls,"[0.7362637362637363, 0.6420454545454546, 0.8241758241758241, 0.7277777777777779, 0.8369565217391304, 0.7217228464419476, 0.7734042553191489, 0.7357142857142858, 0.7357954545454546, 0.8406593406593407]",0.75745154971821,0.8205958397554409,0.059006146283860854
3,F1-Scores,"[0.7362637362637363, 0.649438202247191, 0.7538877620013522, 0.7499453551912569, 0.7936507936507937, 0.7156916347731, 0.7616501145912911, 0.7156916347731, 0.7298701298701298, 0.7915071988336067]",0.7397596562195558,0.0019397281129030406,0.039738061619313564
4,AUC,"[np.float64(0.7362637362637362), np.float64(0.6420454545454546), np.float64(0.8241758241758241), np.float64(0.7277777777777777), np.float64(0.8369565217391305), np.float64(0.7217228464419475), np.float64(0.7734042553191489), np.float64(0.7357142857142858), np.float64(0.7357954545454545), np.float64(0.8406593406593406)]",0.7574515497182099,n/a,0.059006146283860875
