,Metric,Values,Average Values,Standard Deviation
0,Accuracies,"[0.7880794701986755, 0.7880794701986755, 0.7682119205298014, 0.7284768211920529, 0.6158940397350994, 0.7814569536423841, 0.7748344370860927, 0.6291390728476821, 0.6026490066225165, 0.6357615894039735]",0.7112582781456953,0.07592535442631265
1,Precisions,"[0.6483180428134556, 0.6374671916010499, 0.6267184035476718, 0.6118527508090615, 0.6181578947368421, 0.5773001508295625, 0.6142399267399268, 0.5881307746979388, 0.5951210951210951, 0.6071428571428571]",0.6124449088039461,0.02075451127762442
2,Recalls,"[0.7836257309941521, 0.6216608594657376, 0.7181297709923664, 0.7025641025641025, 0.7209645669291338, 0.6714046822742474, 0.7190517998244074, 0.6977671451355663, 0.7263993316624895, 0.7977941176470589]",0.7159362107489262,0.04776159026891472
3,F1-Scores,"[0.6672176308539945, 0.6283076923076923, 0.6405006462145432, 0.6149157181066119, 0.5664356435643564, 0.5842302878598248, 0.6273228803716608, 0.5447889750215331, 0.531055900621118, 0.5497424776362158]",0.5954517852557552,0.04407335710659677
4,AUC,"[np.float64(0.783625730994152), np.float64(0.6216608594657376), np.float64(0.7181297709923664), np.float64(0.7025641025641026), np.float64(0.7209645669291338), np.float64(0.6714046822742474), np.float64(0.7190517998244075), np.float64(0.6977671451355661), np.float64(0.7263993316624896), np.float64(0.7977941176470589)]",0.7159362107489262,0.0477615902689147
