,Metric,Values,Average Values,Standard Deviation
0,Accuracies,"[0.7238805970149254, 0.8134328358208955, 0.6865671641791045, 0.7388059701492538, 0.746268656716418, 0.7835820895522388, 0.7611940298507462, 0.7761194029850746, 0.753731343283582, 0.7313432835820896]",0.7514925373134329,0.0333824914124553
1,Precisions,"[0.6724537037037037, 0.7155782848151062, 0.594718992248062, 0.6558794466403162, 0.6467348544453186, 0.7000517598343685, 0.7243589743589743, 0.6865422123154081, 0.6662921348314607, 0.681712962962963]",0.6744323326155681,0.035464665589405746
2,Recalls,"[0.7578746971270336, 0.8336038961038961, 0.6714912280701755, 0.7315596330275229, 0.7053211009174312, 0.7675666320526133, 0.8002450980392157, 0.7198686371100165, 0.7522727272727272, 0.764487870619946]",0.7504291520340577,0.04416534632917087
3,F1-Scores,"[0.6726744569881824, 0.740611691831204, 0.5861764705882353, 0.6646886394509187, 0.6582658265826582, 0.7169907508557279, 0.7292929292929293, 0.6984698469846984, 0.6779549923530697, 0.6837136113296617]",0.6828839216257285,0.041606675179681134
4,AUC,"[np.float64(0.7578746971270335), np.float64(0.8336038961038962), np.float64(0.6714912280701753), np.float64(0.7315596330275229), np.float64(0.7053211009174313), np.float64(0.7675666320526133), np.float64(0.8002450980392157), np.float64(0.7198686371100164), np.float64(0.7522727272727272), np.float64(0.764487870619946)]",0.7504291520340577,0.04416534632917093
