,Metric,Values,Average Values,Statistical Test Result,Standard Deviation
0,Accuracies,"[0.8805970149253731, 0.8805970149253731, 0.8731343283582089, 0.9029850746268657, 0.9104477611940298, 0.8731343283582089, 0.8880597014925373, 0.8432835820895522, 0.917910447761194, 0.8507462686567164]",0.882089552238806,n/a,0.02283143065787814
1,Precisions,"[0.8085808580858085, 0.7807692307692308, 0.7596304415909803, 0.8335579514824798, 0.847005884389062, 0.7987132352941176, 0.8375295043273013, 0.7685897435897435, 0.8570642201834863, 0.7749433106575965]",0.8066384380369807,0.00015705228423075119,0.03353959169130651
2,Recalls,"[0.8560055382485289, 0.8555194805194806, 0.8635964912280701, 0.863302752293578, 0.8678899082568807, 0.8374870197300104, 0.8943014705882353, 0.7752052545155994, 0.868560606060606, 0.8268194070080863]",0.8508687928449075,0.00038105845205068555,0.03055510541122741
3,F1-Scores,"[0.8282051282051281, 0.809116809116809, 0.7941628264208909, 0.8471259324265028, 0.8568376068376069, 0.8152623469305004, 0.8587987355110642, 0.7717946638553239, 0.8626409467896747, 0.7947303921568627]",0.8238675388250364,0.00015705228423075119,0.030174359187012948
4,AUC,"[np.float64(0.856005538248529), np.float64(0.8555194805194806), np.float64(0.8635964912280703), np.float64(0.863302752293578), np.float64(0.8678899082568807), np.float64(0.8374870197300104), np.float64(0.8943014705882353), np.float64(0.7752052545155994), np.float64(0.868560606060606), np.float64(0.8268194070080863)]",0.8508687928449076,n/a,0.030555105411227416
