,Metric,Values,Average Values,Statistical Test Result,Standard Deviation
0,Accuracies,"[0.9161073825503355, 0.8422818791946308, 0.8959731543624161, 0.8523489932885906, 0.8926174496644296, 0.8053691275167785, 0.8389261744966443, 0.8691275167785235, 0.8791946308724832, 0.9093959731543624]",0.8701342281879194,n/a,0.03342423381819019
1,Precisions,"[0.8657754846779238, 0.7404278210239859, 0.803658067000385, 0.7451398767188241, 0.8324997880817157, 0.7061431623931624, 0.761307767944936, 0.7629580406303398, 0.7997145870819631, 0.8337903225806451]",0.7851414918133882,0.00015705228423075119,0.04750465866075879
2,Recalls,"[0.8500935278713057, 0.7883272616879174, 0.8285833333333333, 0.8446666666666667, 0.7934904601571269, 0.8112096774193548, 0.7839209401709402, 0.84625, 0.8516415520128121, 0.8392344889763135]",0.823741790829577,0.00015705228423075119,0.025676508238505043
3,F1-Scores,"[0.8576151979053188, 0.7592602141666237, 0.8152215221522152, 0.775970475669765, 0.8107485909343495, 0.7292606516290727, 0.7713554987212277, 0.7926235212247739, 0.8209134615384616, 0.8364733857691604]",0.7969442519710969,0.00015705228423075119,0.03668401047603677
4,AUC,"[np.float64(0.8500935278713057), np.float64(0.7883272616879174), np.float64(0.8285833333333333), np.float64(0.8446666666666667), np.float64(0.7934904601571268), np.float64(0.8112096774193549), np.float64(0.7839209401709402), np.float64(0.84625), np.float64(0.8516415520128121), np.float64(0.8392344889763134)]",0.823741790829577,n/a,0.025676508238505043
