,Metric,Values,Average Values,Standard Deviation
0,Accuracies,"[0.6711409395973155, 0.6912751677852349, 0.6845637583892618, 0.6543624161073825, 0.7114093959731543, 0.674496644295302, 0.697986577181208, 0.6610738255033557, 0.714765100671141, 0.674496644295302]",0.6835570469798659,0.01922148119680495
1,Precisions,"[0.6388699020277968, 0.6231884057971014, 0.6273286140089419, 0.6193438140806562, 0.664878612716763, 0.6404420141262246, 0.6512667660208644, 0.6261335156071999, 0.6782967032967033, 0.6463326071169209]",0.6416080954799173,0.018139428600398164
2,Recalls,"[0.7280209502431725, 0.696114146933819, 0.7278333333333333, 0.71825, 0.7667789001122334, 0.7485483870967742, 0.7168803418803419, 0.7306666666666667, 0.7834680061148722, 0.7642406360134415]",0.7380801368394655,0.025578481914386463
3,F1-Scores,"[0.6192636629119733, 0.6187138406764575, 0.6132007732670534, 0.5913732277174999, 0.6577457264957265, 0.6175392635520449, 0.6483084185680567, 0.5993077281501697, 0.6688152922871748, 0.6198329716577892]",0.6254100905283947,0.023703416645235117
4,AUC,"[np.float64(0.7280209502431725), np.float64(0.6961141469338191), np.float64(0.7278333333333332), np.float64(0.71825), np.float64(0.7667789001122335), np.float64(0.7485483870967741), np.float64(0.7168803418803419), np.float64(0.7306666666666668), np.float64(0.7834680061148723), np.float64(0.7642406360134416)]",0.7380801368394655,0.025578481914386483
