,Metric,Values,Average Values,Statistical Test Result,Standard Deviation
0,Accuracies,"[0.7413793103448276, 0.8793103448275862, 0.7758620689655172, 0.7413793103448276, 0.8620689655172413, 0.7758620689655172, 0.8448275862068966, 0.8275862068965517, 0.7758620689655172, 0.7931034482758621]",0.8017241379310345,n/a,0.046423834544262944
1,Precisions,"[0.5324786324786325, 0.6378205128205128, 0.5083333333333333, 0.5051282051282051, 0.6528301886792454, 0.610077519379845, 0.726890756302521, 0.6150870406189555, 0.5815217391304348, 0.6201298701298701]",0.5990297798001555,0.19876460637323512,0.06584198819004689
2,Recalls,"[0.5608974358974359, 0.6622641509433962, 0.5150943396226415, 0.5138888888888888, 0.6134453781512605, 0.7275641025641025, 0.66875, 0.7245283018867925, 0.6260504201680672, 0.7371794871794872]",0.6349662505302073,0.6501474440948545,0.07999226080863935
3,F1-Scores,"[0.5279435702658708, 0.6484848484848484, 0.5023102310231023, 0.483065953654189, 0.6282051282051282, 0.6220551378446115, 0.6898395721925134, 0.6375, 0.5908844275637548, 0.6375]",0.5967788869234019,0.01016520189195626,0.0655016922045962
4,AUC,"[np.float64(0.5608974358974358), np.float64(0.6622641509433962), np.float64(0.5150943396226415), np.float64(0.5138888888888888), np.float64(0.6134453781512604), np.float64(0.7275641025641024), np.float64(0.66875), np.float64(0.7245283018867925), np.float64(0.6260504201680672), np.float64(0.7371794871794871)]",0.6349662505302073,n/a,0.07999226080863935
