,Metric,Values,Average Values,Standard Deviation
0,Accuracies,"[0.7211538461538461, 0.8269230769230769, 0.6826923076923077, 0.8461538461538461, 0.8269230769230769, 0.7788461538461539, 0.8557692307692307, 0.7884615384615384, 0.8076923076923077, 0.6923076923076923]",0.7826923076923077,0.05992475558031877
1,Precisions,"[0.629585326953748, 0.6757105943152455, 0.6280303030303029, 0.6952380952380952, 0.66875, 0.6563063063063063, 0.6534820824881676, 0.6522556390977443, 0.6523809523809524, 0.6182733255903987]",0.6530012625400962,0.02222086006830022
2,Recalls,"[0.7747252747252747, 0.6931818181818181, 0.7857142857142858, 0.7603174603174603, 0.7934782608695652, 0.7599250936329588, 0.7414893617021276, 0.7571428571428571, 0.6818181818181819, 0.7582417582417582]",0.7506034352346288,0.03470874353788093
3,F1-Scores,"[0.6233295866117148, 0.6835699797160244, 0.6012547926106657, 0.7187288708586883, 0.6976744186046512, 0.6738922972051806, 0.6807857581338244, 0.6718301778542742, 0.6640826873385013, 0.5998075998075998]",0.6614956168741125,0.03821272836636478
4,AUC,"[np.float64(0.7747252747252747), np.float64(0.6931818181818182), np.float64(0.7857142857142857), np.float64(0.7603174603174603), np.float64(0.7934782608695651), np.float64(0.7599250936329588), np.float64(0.7414893617021276), np.float64(0.7571428571428572), np.float64(0.6818181818181818), np.float64(0.7582417582417583)]",0.7506034352346288,0.03470874353788091
