,Metric,Values,Average Values,Statistical Test Result,Standard Deviation
0,Accuracies,"[0.8079470198675497, 0.8278145695364238, 0.8211920529801324, 0.7880794701986755, 0.8211920529801324, 0.8344370860927153, 0.7947019867549668, 0.8278145695364238, 0.8079470198675497, 0.8609271523178808]",0.819205298013245,n/a,0.01987858413219024
1,Precisions,"[0.6455665024630541, 0.7127215849843587, 0.6527699265121538, 0.64058795637743, 0.679055963821368, 0.6225319396051103, 0.644481981981982, 0.6784482758620689, 0.6455665024630541, 0.6947216386554622]",0.6616452272726042,0.0011520450981421847,0.02674317887115779
2,Recalls,"[0.7468671679197995, 0.6184668989547037, 0.7062977099236641, 0.7172161172161172, 0.7078412073490814, 0.7352285395763657, 0.7816066725197541, 0.7888755980861244, 0.7468671679197995, 0.8634803921568628]",0.7412747471622272,0.3257513544787166,0.060768093454526696
3,F1-Scores,"[0.668182162612715, 0.6404761904761904, 0.671130112123901, 0.6585641605426795, 0.691066151398045, 0.6472292309129988, 0.6648048693161475, 0.7068399044205496, 0.668182162612715, 0.7354192740926158]",0.6751894218508557,0.0006697294490218271,0.0271425109436423
4,AUC,"[np.float64(0.7468671679197996), np.float64(0.6184668989547037), np.float64(0.7062977099236641), np.float64(0.7172161172161172), np.float64(0.7078412073490813), np.float64(0.7352285395763657), np.float64(0.7816066725197541), np.float64(0.7888755980861245), np.float64(0.7468671679197996), np.float64(0.8634803921568628)]",0.7412747471622272,n/a,0.06076809345452671
