,Metric,Values,Average Values,Standard Deviation
0,Accuracies,"[0.603448275862069, 0.6896551724137931, 0.603448275862069, 0.5344827586206896, 0.6551724137931034, 0.46551724137931033, 0.6896551724137931, 0.4482758620689655, 0.6206896551724138, 0.6896551724137931]",0.6,0.08544490823009566
1,Precisions,"[0.5764635603345281, 0.5817245817245817, 0.5330882352941176, 0.504778972520908, 0.6296296296296297, 0.5496894409937888, 0.5535714285714286, 0.5354037267080746, 0.5440993788819876, 0.5997474747474747]",0.5608196429406519,0.03455934131390455
2,Recalls,"[0.7051282051282051, 0.739622641509434, 0.6018867924528302, 0.5185185185185186, 0.803921568627451, 0.6282051282051282, 0.575, 0.6075471698113208, 0.5994397759103641, 0.7532051282051282]",0.653247492836838,0.0868158273310374
3,F1-Scores,"[0.5129609346476817, 0.5538461538461539, 0.47126436781609193, 0.40569259962049337, 0.5839311334289814, 0.41528455284552845, 0.5538461538461539, 0.3894736842105263, 0.5054263565891473, 0.5762987012987013]",0.4968024638149459,0.06918983172023326
4,AUC,"[np.float64(0.7051282051282052), np.float64(0.739622641509434), np.float64(0.6018867924528302), np.float64(0.5185185185185185), np.float64(0.803921568627451), np.float64(0.6282051282051282), np.float64(0.575), np.float64(0.6075471698113208), np.float64(0.5994397759103641), np.float64(0.7532051282051284)]",0.653247492836838,0.08681582733103745
